OpenURI/HTTPError.html#method-c-new%%new (OpenURI::HTTPError)
OpenURI/HTTPRedirect.html#method-c-new%%new (OpenURI::HTTPRedirect)
OpenURI/Meta.html#method-i-charset%%charset (OpenURI::Meta)
OpenURI/Meta.html#method-i-content_encoding%%content_encoding (OpenURI::Meta)
OpenURI/Meta.html#method-i-content_type%%content_type (OpenURI::Meta)
OpenURI/Meta.html#method-i-last_modified%%last_modified (OpenURI::Meta)
OpenURI/OpenRead.html#method-i-open%%open (OpenURI::OpenRead)
OpenURI/OpenRead.html#method-i-read%%read (OpenURI::OpenRead)
URI.html#method-c-open%%open (URI)
