Array.html#method-i-shelljoin%%shelljoin (Array)
Shellwords.html#method-c-escape%%escape (Shellwords)
Shellwords.html#method-c-join%%join (Shellwords)
Shellwords.html#method-c-shellescape%%shellescape (Shellwords)
Shellwords.html#method-c-shelljoin%%shelljoin (Shellwords)
Shellwords.html#method-c-shellsplit%%shellsplit (Shellwords)
Shellwords.html#method-c-shellwords%%shellwords (Shellwords)
Shellwords.html#method-c-split%%split (Shellwords)
String.html#method-i-shellescape%%shellescape (String)
String.html#method-i-shellsplit%%shellsplit (String)
