Kernel.html#method-c-URI%%URI (Kernel)
URI/MailTo.html#method-i-set_headers%%set_headers (URI::MailTo)
URI/MailTo.html#method-i-set_to%%set_to (URI::MailTo)
URI/MailTo.html#method-i-to-3D%%to= (URI::MailTo)
URI/MailTo.html#method-i-to_mailtext%%to_mailtext (URI::MailTo)
URI/MailTo.html#method-i-to_rfc822text%%to_rfc822text (URI::MailTo)
URI/MailTo.html#method-i-to_s%%to_s (URI::MailTo)
URI/RFC2396_Parser.html#method-c-new%%new (URI::RFC2396_Parser)
URI/RFC2396_Parser.html#method-i-escape%%escape (URI::RFC2396_Parser)
URI/RFC2396_Parser.html#method-i-extract%%extract (URI::RFC2396_Parser)
URI/RFC2396_Parser.html#method-i-inspect%%inspect (URI::RFC2396_Parser)
URI/RFC2396_Parser.html#method-i-join%%join (URI::RFC2396_Parser)
URI/RFC2396_Parser.html#method-i-make_regexp%%make_regexp (URI::RFC2396_Parser)
URI/RFC2396_Parser.html#method-i-parse%%parse (URI::RFC2396_Parser)
URI/RFC2396_Parser.html#method-i-split%%split (URI::RFC2396_Parser)
URI/RFC2396_Parser.html#method-i-unescape%%unescape (URI::RFC2396_Parser)
