Array.html#method-i-dclone%%dclone (Array)
REXML/DTD/ElementDecl.html#method-c-new%%new (REXML::DTD::ElementDecl)
REXML/DTD/EntityDecl.html#method-c-new%%new (REXML::DTD::EntityDecl)
REXML/DTD/EntityDecl.html#method-c-parse_source%%parse_source (REXML::DTD::EntityDecl)
REXML/DTD/EntityDecl.html#method-i-to_s%%to_s (REXML::DTD::EntityDecl)
REXML/DTD/EntityDecl.html#method-i-write%%write (REXML::DTD::EntityDecl)
REXML/DTD/NotationDecl.html#method-c-new%%new (REXML::DTD::NotationDecl)
REXML/DTD/NotationDecl.html#method-c-parse_source%%parse_source (REXML::DTD::NotationDecl)
REXML/DTD/NotationDecl.html#method-i-to_s%%to_s (REXML::DTD::NotationDecl)
REXML/DTD/NotationDecl.html#method-i-write%%write (REXML::DTD::NotationDecl)
REXML/DTD/Parser.html#method-c-parse_helper%%parse_helper (REXML::DTD::Parser)
REXML/DTD/Parser.html#method-c-parse%%parse (REXML::DTD::Parser)
REXML/ElementDecl.html#method-c-new%%new (REXML::ElementDecl)
REXML/Element.html#method-c-new%%new (REXML::Element)
REXML/Element.html#method-i-5B-5D%%[] (REXML::Element)
REXML/Element.html#method-i-add_attribute%%add_attribute (REXML::Element)
REXML/Element.html#method-i-add_attributes%%add_attributes (REXML::Element)
REXML/Element.html#method-i-add_element%%add_element (REXML::Element)
REXML/Element.html#method-i-add_namespace%%add_namespace (REXML::Element)
REXML/Element.html#method-i-add_text%%add_text (REXML::Element)
REXML/Element.html#method-i-attribute%%attribute (REXML::Element)
REXML/Element.html#method-i-cdatas%%cdatas (REXML::Element)
REXML/Element.html#method-i-clone%%clone (REXML::Element)
REXML/Element.html#method-i-comments%%comments (REXML::Element)
REXML/Element.html#method-i-delete_attribute%%delete_attribute (REXML::Element)
REXML/Element.html#method-i-delete_element%%delete_element (REXML::Element)
REXML/Element.html#method-i-delete_namespace%%delete_namespace (REXML::Element)
REXML/Element.html#method-i-document%%document (REXML::Element)
REXML/Element.html#method-i-each_element%%each_element (REXML::Element)
REXML/Element.html#method-i-each_element_with_attribute%%each_element_with_attribute (REXML::Element)
REXML/Element.html#method-i-each_element_with_text%%each_element_with_text (REXML::Element)
REXML/Element.html#method-i-get_elements%%get_elements (REXML::Element)
REXML/Element.html#method-i-get_text%%get_text (REXML::Element)
REXML/Element.html#method-i-has_attributes-3F%%has_attributes? (REXML::Element)
REXML/Element.html#method-i-has_elements-3F%%has_elements? (REXML::Element)
REXML/Element.html#method-i-has_text-3F%%has_text? (REXML::Element)
REXML/Element.html#method-i-ignore_whitespace_nodes%%ignore_whitespace_nodes (REXML::Element)
REXML/Element.html#method-i-inspect%%inspect (REXML::Element)
REXML/Element.html#method-i-instructions%%instructions (REXML::Element)
REXML/Element.html#method-i-namespace%%namespace (REXML::Element)
REXML/Element.html#method-i-namespaces%%namespaces (REXML::Element)
REXML/Element.html#method-i-next_element%%next_element (REXML::Element)
REXML/Element.html#method-i-node_type%%node_type (REXML::Element)
REXML/Element.html#method-i-prefixes%%prefixes (REXML::Element)
REXML/Element.html#method-i-previous_element%%previous_element (REXML::Element)
REXML/Element.html#method-i-raw%%raw (REXML::Element)
REXML/Element.html#method-i-root_node%%root_node (REXML::Element)
REXML/Element.html#method-i-root%%root (REXML::Element)
REXML/Element.html#method-i-text-3D%%text= (REXML::Element)
REXML/Element.html#method-i-texts%%texts (REXML::Element)
REXML/Element.html#method-i-text%%text (REXML::Element)
REXML/Element.html#method-i-whitespace%%whitespace (REXML::Element)
REXML/Element.html#method-i-write%%write (REXML::Element)
REXML/Element.html#method-i-xpath%%xpath (REXML::Element)
REXML/Elements.html#method-c-new%%new (REXML::Elements)
REXML/Elements.html#method-i-3C-3C%%<< (REXML::Elements)
REXML/Elements.html#method-i-5B-5D-3D%%[]= (REXML::Elements)
REXML/Elements.html#method-i-5B-5D%%[] (REXML::Elements)
REXML/Elements.html#method-i-add%%add (REXML::Elements)
REXML/Elements.html#method-i-collect%%collect (REXML::Elements)
REXML/Elements.html#method-i-delete_all%%delete_all (REXML::Elements)
REXML/Elements.html#method-i-delete%%delete (REXML::Elements)
REXML/Elements.html#method-i-each%%each (REXML::Elements)
REXML/Elements.html#method-i-empty-3F%%empty? (REXML::Elements)
REXML/Elements.html#method-i-index%%index (REXML::Elements)
REXML/Elements.html#method-i-inject%%inject (REXML::Elements)
REXML/Elements.html#method-i-size%%size (REXML::Elements)
REXML/Elements.html#method-i-to_a%%to_a (REXML::Elements)
REXML/Encoding.html#method-i-decode%%decode (REXML::Encoding)
REXML/Encoding.html#method-i-encode%%encode (REXML::Encoding)
REXML/Encoding.html#method-i-encoding-3D%%encoding= (REXML::Encoding)
REXML/Entity.html#method-c-matches-3F%%matches? (REXML::Entity)
REXML/Entity.html#method-c-new%%new (REXML::Entity)
REXML/Entity.html#method-i-normalized%%normalized (REXML::Entity)
REXML/Entity.html#method-i-to_s%%to_s (REXML::Entity)
REXML/Entity.html#method-i-unnormalized%%unnormalized (REXML::Entity)
REXML/Entity.html#method-i-value%%value (REXML::Entity)
REXML/Entity.html#method-i-write%%write (REXML::Entity)
REXML/ExternalEntity.html#method-c-new%%new (REXML::ExternalEntity)
REXML/ExternalEntity.html#method-i-to_s%%to_s (REXML::ExternalEntity)
REXML/ExternalEntity.html#method-i-write%%write (REXML::ExternalEntity)
REXML/Formatters/Default.html#method-c-new%%new (REXML::Formatters::Default)
REXML/Formatters/Default.html#method-i-write_cdata%%write_cdata (REXML::Formatters::Default)
REXML/Formatters/Default.html#method-i-write_comment%%write_comment (REXML::Formatters::Default)
REXML/Formatters/Default.html#method-i-write_document%%write_document (REXML::Formatters::Default)
REXML/Formatters/Default.html#method-i-write_element%%write_element (REXML::Formatters::Default)
REXML/Formatters/Default.html#method-i-write_instruction%%write_instruction (REXML::Formatters::Default)
REXML/Formatters/Default.html#method-i-write_text%%write_text (REXML::Formatters::Default)
REXML/Formatters/Default.html#method-i-write%%write (REXML::Formatters::Default)
REXML/Formatters/Pretty.html#method-c-new%%new (REXML::Formatters::Pretty)
REXML/Formatters/Pretty.html#method-i-write_cdata%%write_cdata (REXML::Formatters::Pretty)
REXML/Formatters/Pretty.html#method-i-write_comment%%write_comment (REXML::Formatters::Pretty)
REXML/Formatters/Pretty.html#method-i-write_document%%write_document (REXML::Formatters::Pretty)
REXML/Formatters/Pretty.html#method-i-write_element%%write_element (REXML::Formatters::Pretty)
REXML/Formatters/Pretty.html#method-i-write_text%%write_text (REXML::Formatters::Pretty)
REXML/Formatters/Transitive.html#method-c-new%%new (REXML::Formatters::Transitive)
REXML/Formatters/Transitive.html#method-i-write_element%%write_element (REXML::Formatters::Transitive)
REXML/Formatters/Transitive.html#method-i-write_text%%write_text (REXML::Formatters::Transitive)
REXML/Functions.html#method-c-boolean%%boolean (REXML::Functions)
REXML/Functions.html#method-c-ceiling%%ceiling (REXML::Functions)
REXML/Functions.html#method-c-compare_language%%compare_language (REXML::Functions)
REXML/Functions.html#method-c-concat%%concat (REXML::Functions)
REXML/Functions.html#method-c-contains%%contains (REXML::Functions)
REXML/Functions.html#method-c-context-3D%%context= (REXML::Functions)
REXML/Functions.html#method-c-count%%count (REXML::Functions)
REXML/Functions.html#method-c-false%%false (REXML::Functions)
REXML/Functions.html#method-c-floor%%floor (REXML::Functions)
REXML/Functions.html#method-c-get_namespace%%get_namespace (REXML::Functions)
REXML/Functions.html#method-c-id%%id (REXML::Functions)
REXML/Functions.html#method-c-lang%%lang (REXML::Functions)
REXML/Functions.html#method-c-last%%last (REXML::Functions)
